id	name
4	Afghanistan
32	Argentina
36	Australia
44	Bahamas
48	Bahrain
50	Bangladesh
64	Bhutan
68	Bolivia
76	Brazil
104	Myanmar
124	Canada
144	Sri Lanka
156	China
188	Costa Rica
191	Croatia
242	Fiji
276	Germany
356	India
360	Indonesia
376	Israel
380	Italy
458	Malaysia
462	Maldives
524	Nepal
554	New Zealand
586	Pakistan
591	Panama
598	Papua New Guinea
600	Paraguay
604	Peru
608	Philippines
643	Russia
710	South Africa
716	Zimbabwe
724	Spain
784	United Arab Emirates
826	United Kingdom
840	United States